Portas;Bloco_Publico;Bloco_Privado
1024 - 5055;187.61.110.115;100.64.0.115
1024 - 5055;187.61.110.116;100.64.0.116
1024 - 5055;187.61.110.117;100.64.0.117
1024 - 5055;187.61.110.118;100.64.0.118
1024 - 5055;187.61.110.119;100.64.0.119
1024 - 5055;187.61.110.120;100.64.0.120
1024 - 5055;187.61.110.121;100.64.0.121
1024 - 5055;187.61.110.122;100.64.0.122
1024 - 5055;187.61.110.123;100.64.0.123
1024 - 5055;187.61.110.124;100.64.0.124
1024 - 5055;187.61.110.125;100.64.0.125
1024 - 5055;187.61.110.126;100.64.0.126
1024 - 5055;187.61.110.127;100.64.0.127
5056 - 9087;187.61.110.0;100.64.0.128
5056 - 9087;187.61.110.1;100.64.0.129
5056 - 9087;187.61.110.2;100.64.0.130
5056 - 9087;187.61.110.3;100.64.0.131
5056 - 9087;187.61.110.4;100.64.0.132
5056 - 9087;187.61.110.5;100.64.0.133
5056 - 9087;187.61.110.6;100.64.0.134
5056 - 9087;187.61.110.7;100.64.0.135
5056 - 9087;187.61.110.8;100.64.0.136
5056 - 9087;187.61.110.9;100.64.0.137
5056 - 9087;187.61.110.10;100.64.0.138
5056 - 9087;187.61.110.11;100.64.0.139
5056 - 9087;187.61.110.12;100.64.0.140
5056 - 9087;187.61.110.13;100.64.0.141
5056 - 9087;187.61.110.14;100.64.0.142
5056 - 9087;187.61.110.15;100.64.0.143
5056 - 9087;187.61.110.16;100.64.0.144
5056 - 9087;187.61.110.17;100.64.0.145
5056 - 9087;187.61.110.18;100.64.0.146
5056 - 9087;187.61.110.19;100.64.0.147
5056 - 9087;187.61.110.20;100.64.0.148
5056 - 9087;187.61.110.21;100.64.0.149
5056 - 9087;187.61.110.22;100.64.0.150
5056 - 9087;187.61.110.23;100.64.0.151
5056 - 9087;187.61.110.24;100.64.0.152
5056 - 9087;187.61.110.25;100.64.0.153
5056 - 9087;187.61.110.26;100.64.0.154
5056 - 9087;187.61.110.27;100.64.0.155
5056 - 9087;187.61.110.28;100.64.0.156
5056 - 9087;187.61.110.29;100.64.0.157
5056 - 9087;187.61.110.30;100.64.0.158
5056 - 9087;187.61.110.31;100.64.0.159
5056 - 9087;187.61.110.32;100.64.0.160
5056 - 9087;187.61.110.33;100.64.0.161
5056 - 9087;187.61.110.34;100.64.0.162
5056 - 9087;187.61.110.35;100.64.0.163
5056 - 9087;187.61.110.36;100.64.0.164
5056 - 9087;187.61.110.37;100.64.0.165
5056 - 9087;187.61.110.38;100.64.0.166
5056 - 9087;187.61.110.39;100.64.0.167
5056 - 9087;187.61.110.40;100.64.0.168
5056 - 9087;187.61.110.41;100.64.0.169
5056 - 9087;187.61.110.42;100.64.0.170
5056 - 9087;187.61.110.43;100.64.0.171
5056 - 9087;187.61.110.44;100.64.0.172
5056 - 9087;187.61.110.45;100.64.0.173
5056 - 9087;187.61.110.46;100.64.0.174
5056 - 9087;187.61.110.47;100.64.0.175
5056 - 9087;187.61.110.48;100.64.0.176
5056 - 9087;187.61.110.49;100.64.0.177
5056 - 9087;187.61.110.50;100.64.0.178
5056 - 9087;187.61.110.51;100.64.0.179
5056 - 9087;187.61.110.52;100.64.0.180
5056 - 9087;187.61.110.53;100.64.0.181
5056 - 9087;187.61.110.54;100.64.0.182
5056 - 9087;187.61.110.55;100.64.0.183
5056 - 9087;187.61.110.56;100.64.0.184
5056 - 9087;187.61.110.57;100.64.0.185
5056 - 9087;187.61.110.58;100.64.0.186
5056 - 9087;187.61.110.59;100.64.0.187
5056 - 9087;187.61.110.60;100.64.0.188
5056 - 9087;187.61.110.61;100.64.0.189
5056 - 9087;187.61.110.62;100.64.0.190
5056 - 9087;187.61.110.63;100.64.0.191
5056 - 9087;187.61.110.64;100.64.0.192
5056 - 9087;187.61.110.65;100.64.0.193
5056 - 9087;187.61.110.66;100.64.0.194
5056 - 9087;187.61.110.67;100.64.0.195
5056 - 9087;187.61.110.68;100.64.0.196
5056 - 9087;187.61.110.69;100.64.0.197
5056 - 9087;187.61.110.70;100.64.0.198
5056 - 9087;187.61.110.71;100.64.0.199
5056 - 9087;187.61.110.72;100.64.0.200
5056 - 9087;187.61.110.73;100.64.0.201
5056 - 9087;187.61.110.74;100.64.0.202
5056 - 9087;187.61.110.75;100.64.0.203
5056 - 9087;187.61.110.76;100.64.0.204
5056 - 9087;187.61.110.77;100.64.0.205
5056 - 9087;187.61.110.78;100.64.0.206
5056 - 9087;187.61.110.79;100.64.0.207
5056 - 9087;187.61.110.80;100.64.0.208
5056 - 9087;187.61.110.81;100.64.0.209
5056 - 9087;187.61.110.82;100.64.0.210
5056 - 9087;187.61.110.83;100.64.0.211
5056 - 9087;187.61.110.84;100.64.0.212
5056 - 9087;187.61.110.85;100.64.0.213
5056 - 9087;187.61.110.86;100.64.0.214
5056 - 9087;187.61.110.87;100.64.0.215
5056 - 9087;187.61.110.88;100.64.0.216
5056 - 9087;187.61.110.89;100.64.0.217
5056 - 9087;187.61.110.90;100.64.0.218
5056 - 9087;187.61.110.91;100.64.0.219
5056 - 9087;187.61.110.92;100.64.0.220
5056 - 9087;187.61.110.93;100.64.0.221
5056 - 9087;187.61.110.94;100.64.0.222
5056 - 9087;187.61.110.95;100.64.0.223
5056 - 9087;187.61.110.96;100.64.0.224
5056 - 9087;187.61.110.97;100.64.0.225
5056 - 9087;187.61.110.98;100.64.0.226
5056 - 9087;187.61.110.99;100.64.0.227
5056 - 9087;187.61.110.100;100.64.0.228
5056 - 9087;187.61.110.101;100.64.0.229
5056 - 9087;187.61.110.102;100.64.0.230
5056 - 9087;187.61.110.103;100.64.0.231
5056 - 9087;187.61.110.104;100.64.0.232
5056 - 9087;187.61.110.105;100.64.0.233
5056 - 9087;187.61.110.106;100.64.0.234
5056 - 9087;187.61.110.107;100.64.0.235
5056 - 9087;187.61.110.108;100.64.0.236
5056 - 9087;187.61.110.109;100.64.0.237
5056 - 9087;187.61.110.110;100.64.0.238
5056 - 9087;187.61.110.111;100.64.0.239
