Portas;Bloco_Publico;Bloco_Privado
7072 - 9087;186.0.148.147;100.64.4.115
7072 - 9087;186.0.148.148;100.64.4.116
7072 - 9087;186.0.148.149;100.64.4.117
7072 - 9087;186.0.148.150;100.64.4.118
7072 - 9087;186.0.148.151;100.64.4.119
7072 - 9087;186.0.148.152;100.64.4.120
7072 - 9087;186.0.148.153;100.64.4.121
7072 - 9087;186.0.148.154;100.64.4.122
7072 - 9087;186.0.148.155;100.64.4.123
7072 - 9087;186.0.148.156;100.64.4.124
7072 - 9087;186.0.148.157;100.64.4.125
7072 - 9087;186.0.148.158;100.64.4.126
7072 - 9087;186.0.148.159;100.64.4.127
9088 - 11103;186.0.148.128;100.64.4.128
9088 - 11103;186.0.148.129;100.64.4.129
9088 - 11103;186.0.148.130;100.64.4.130
9088 - 11103;186.0.148.131;100.64.4.131
9088 - 11103;186.0.148.132;100.64.4.132
9088 - 11103;186.0.148.133;100.64.4.133
9088 - 11103;186.0.148.134;100.64.4.134
9088 - 11103;186.0.148.135;100.64.4.135
9088 - 11103;186.0.148.136;100.64.4.136
9088 - 11103;186.0.148.137;100.64.4.137
9088 - 11103;186.0.148.138;100.64.4.138
9088 - 11103;186.0.148.139;100.64.4.139
9088 - 11103;186.0.148.140;100.64.4.140
9088 - 11103;186.0.148.141;100.64.4.141
9088 - 11103;186.0.148.142;100.64.4.142
9088 - 11103;186.0.148.143;100.64.4.143
9088 - 11103;186.0.148.144;100.64.4.144
9088 - 11103;186.0.148.145;100.64.4.145
9088 - 11103;186.0.148.146;100.64.4.146
9088 - 11103;186.0.148.147;100.64.4.147
9088 - 11103;186.0.148.148;100.64.4.148
9088 - 11103;186.0.148.149;100.64.4.149
9088 - 11103;186.0.148.150;100.64.4.150
9088 - 11103;186.0.148.151;100.64.4.151
9088 - 11103;186.0.148.152;100.64.4.152
9088 - 11103;186.0.148.153;100.64.4.153
9088 - 11103;186.0.148.154;100.64.4.154
9088 - 11103;186.0.148.155;100.64.4.155
9088 - 11103;186.0.148.156;100.64.4.156
9088 - 11103;186.0.148.157;100.64.4.157
9088 - 11103;186.0.148.158;100.64.4.158
9088 - 11103;186.0.148.159;100.64.4.159
11104 - 13119;186.0.148.128;100.64.4.160
11104 - 13119;186.0.148.129;100.64.4.161
11104 - 13119;186.0.148.130;100.64.4.162
11104 - 13119;186.0.148.131;100.64.4.163
11104 - 13119;186.0.148.132;100.64.4.164
11104 - 13119;186.0.148.133;100.64.4.165
11104 - 13119;186.0.148.134;100.64.4.166
11104 - 13119;186.0.148.135;100.64.4.167
11104 - 13119;186.0.148.136;100.64.4.168
11104 - 13119;186.0.148.137;100.64.4.169
11104 - 13119;186.0.148.138;100.64.4.170
11104 - 13119;186.0.148.139;100.64.4.171
11104 - 13119;186.0.148.140;100.64.4.172
11104 - 13119;186.0.148.141;100.64.4.173
11104 - 13119;186.0.148.142;100.64.4.174
11104 - 13119;186.0.148.143;100.64.4.175
11104 - 13119;186.0.148.144;100.64.4.176
11104 - 13119;186.0.148.145;100.64.4.177
11104 - 13119;186.0.148.146;100.64.4.178
11104 - 13119;186.0.148.147;100.64.4.179
11104 - 13119;186.0.148.148;100.64.4.180
11104 - 13119;186.0.148.149;100.64.4.181
11104 - 13119;186.0.148.150;100.64.4.182
11104 - 13119;186.0.148.151;100.64.4.183
11104 - 13119;186.0.148.152;100.64.4.184
11104 - 13119;186.0.148.153;100.64.4.185
11104 - 13119;186.0.148.154;100.64.4.186
11104 - 13119;186.0.148.155;100.64.4.187
11104 - 13119;186.0.148.156;100.64.4.188
11104 - 13119;186.0.148.157;100.64.4.189
11104 - 13119;186.0.148.158;100.64.4.190
11104 - 13119;186.0.148.159;100.64.4.191
13120 - 15135;186.0.148.128;100.64.4.192
13120 - 15135;186.0.148.129;100.64.4.193
13120 - 15135;186.0.148.130;100.64.4.194
13120 - 15135;186.0.148.131;100.64.4.195
13120 - 15135;186.0.148.132;100.64.4.196
13120 - 15135;186.0.148.133;100.64.4.197
13120 - 15135;186.0.148.134;100.64.4.198
13120 - 15135;186.0.148.135;100.64.4.199
13120 - 15135;186.0.148.136;100.64.4.200
13120 - 15135;186.0.148.137;100.64.4.201
13120 - 15135;186.0.148.138;100.64.4.202
13120 - 15135;186.0.148.139;100.64.4.203
