Portas;Bloco_Publico;Bloco_Privado
29248 - 31263;187.61.110.163;100.64.0.115
29248 - 31263;187.61.110.164;100.64.0.116
29248 - 31263;187.61.110.165;100.64.0.117
29248 - 31263;187.61.110.166;100.64.0.118
29248 - 31263;187.61.110.167;100.64.0.119
31264 - 33279;187.61.110.160;100.64.0.120
31264 - 33279;187.61.110.161;100.64.0.121
31264 - 33279;187.61.110.162;100.64.0.122
31264 - 33279;187.61.110.163;100.64.0.123
31264 - 33279;187.61.110.164;100.64.0.124
31264 - 33279;187.61.110.165;100.64.0.125
31264 - 33279;187.61.110.166;100.64.0.126
31264 - 33279;187.61.110.167;100.64.0.127
33280 - 35295;187.61.110.160;100.64.0.128
33280 - 35295;187.61.110.161;100.64.0.129
33280 - 35295;187.61.110.162;100.64.0.130
33280 - 35295;187.61.110.163;100.64.0.131
33280 - 35295;187.61.110.164;100.64.0.132
33280 - 35295;187.61.110.165;100.64.0.133
33280 - 35295;187.61.110.166;100.64.0.134
33280 - 35295;187.61.110.167;100.64.0.135
35296 - 37311;187.61.110.160;100.64.0.136
35296 - 37311;187.61.110.161;100.64.0.137
35296 - 37311;187.61.110.162;100.64.0.138
35296 - 37311;187.61.110.163;100.64.0.139
35296 - 37311;187.61.110.164;100.64.0.140
35296 - 37311;187.61.110.165;100.64.0.141
35296 - 37311;187.61.110.166;100.64.0.142
35296 - 37311;187.61.110.167;100.64.0.143
37312 - 39327;187.61.110.160;100.64.0.144
37312 - 39327;187.61.110.161;100.64.0.145
37312 - 39327;187.61.110.162;100.64.0.146
37312 - 39327;187.61.110.163;100.64.0.147
37312 - 39327;187.61.110.164;100.64.0.148
37312 - 39327;187.61.110.165;100.64.0.149
37312 - 39327;187.61.110.166;100.64.0.150
37312 - 39327;187.61.110.167;100.64.0.151
39328 - 41343;187.61.110.160;100.64.0.152
39328 - 41343;187.61.110.161;100.64.0.153
39328 - 41343;187.61.110.162;100.64.0.154
39328 - 41343;187.61.110.163;100.64.0.155
39328 - 41343;187.61.110.164;100.64.0.156
39328 - 41343;187.61.110.165;100.64.0.157
39328 - 41343;187.61.110.166;100.64.0.158
39328 - 41343;187.61.110.167;100.64.0.159
41344 - 43359;187.61.110.160;100.64.0.160
41344 - 43359;187.61.110.161;100.64.0.161
41344 - 43359;187.61.110.162;100.64.0.162
41344 - 43359;187.61.110.163;100.64.0.163
41344 - 43359;187.61.110.164;100.64.0.164
41344 - 43359;187.61.110.165;100.64.0.165
41344 - 43359;187.61.110.166;100.64.0.166
41344 - 43359;187.61.110.167;100.64.0.167
43360 - 45375;187.61.110.160;100.64.0.168
43360 - 45375;187.61.110.161;100.64.0.169
43360 - 45375;187.61.110.162;100.64.0.170
43360 - 45375;187.61.110.163;100.64.0.171
43360 - 45375;187.61.110.164;100.64.0.172
43360 - 45375;187.61.110.165;100.64.0.173
43360 - 45375;187.61.110.166;100.64.0.174
43360 - 45375;187.61.110.167;100.64.0.175
45376 - 47391;187.61.110.160;100.64.0.176
45376 - 47391;187.61.110.161;100.64.0.177
45376 - 47391;187.61.110.162;100.64.0.178
45376 - 47391;187.61.110.163;100.64.0.179
45376 - 47391;187.61.110.164;100.64.0.180
45376 - 47391;187.61.110.165;100.64.0.181
45376 - 47391;187.61.110.166;100.64.0.182
45376 - 47391;187.61.110.167;100.64.0.183
47392 - 49407;187.61.110.160;100.64.0.184
47392 - 49407;187.61.110.161;100.64.0.185
47392 - 49407;187.61.110.162;100.64.0.186
47392 - 49407;187.61.110.163;100.64.0.187
47392 - 49407;187.61.110.164;100.64.0.188
47392 - 49407;187.61.110.165;100.64.0.189
47392 - 49407;187.61.110.166;100.64.0.190
47392 - 49407;187.61.110.167;100.64.0.191
49408 - 51423;187.61.110.160;100.64.0.192
49408 - 51423;187.61.110.161;100.64.0.193
49408 - 51423;187.61.110.162;100.64.0.194
49408 - 51423;187.61.110.163;100.64.0.195
49408 - 51423;187.61.110.164;100.64.0.196
49408 - 51423;187.61.110.165;100.64.0.197
49408 - 51423;187.61.110.166;100.64.0.198
49408 - 51423;187.61.110.167;100.64.0.199
51424 - 53439;187.61.110.160;100.64.0.200
51424 - 53439;187.61.110.161;100.64.0.201
51424 - 53439;187.61.110.162;100.64.0.202
51424 - 53439;187.61.110.163;100.64.0.203
51424 - 53439;187.61.110.164;100.64.0.204
51424 - 53439;187.61.110.165;100.64.0.205
51424 - 53439;187.61.110.166;100.64.0.206
51424 - 53439;187.61.110.167;100.64.0.207
53440 - 55455;187.61.110.160;100.64.0.208
53440 - 55455;187.61.110.161;100.64.0.209
53440 - 55455;187.61.110.162;100.64.0.210
53440 - 55455;187.61.110.163;100.64.0.211
53440 - 55455;187.61.110.164;100.64.0.212
53440 - 55455;187.61.110.165;100.64.0.213
53440 - 55455;187.61.110.166;100.64.0.214
53440 - 55455;187.61.110.167;100.64.0.215
55456 - 57471;187.61.110.160;100.64.0.216
55456 - 57471;187.61.110.161;100.64.0.217
55456 - 57471;187.61.110.162;100.64.0.218
55456 - 57471;187.61.110.163;100.64.0.219
55456 - 57471;187.61.110.164;100.64.0.220
55456 - 57471;187.61.110.165;100.64.0.221
55456 - 57471;187.61.110.166;100.64.0.222
55456 - 57471;187.61.110.167;100.64.0.223
57472 - 59487;187.61.110.160;100.64.0.224
57472 - 59487;187.61.110.161;100.64.0.225
57472 - 59487;187.61.110.162;100.64.0.226
57472 - 59487;187.61.110.163;100.64.0.227
57472 - 59487;187.61.110.164;100.64.0.228
57472 - 59487;187.61.110.165;100.64.0.229
57472 - 59487;187.61.110.166;100.64.0.230
57472 - 59487;187.61.110.167;100.64.0.231
59488 - 61503;187.61.110.160;100.64.0.232
59488 - 61503;187.61.110.161;100.64.0.233
